pot,date,time,round,scorer,di
1738,2021-09-20,12:00:00,1,B,100
1745,2021-09-20,12:00:00,1,B,85
1757,2021-09-20,12:00:00,1,B,100
1802,2021-09-20,12:00:00,1,B,100
1829,2021-09-20,12:00:00,1,B,100
1877,2021-09-20,12:00:00,1,B,100
1958,2021-09-20,12:00:00,1,B,100
1983,2021-09-20,12:00:00,1,B,81.25
2002,2021-09-20,12:00:00,1,B,100
2006,2021-09-20,12:00:00,1,B,81.25
2104,2021-09-20,12:00:00,1,B,86.25
2192,2021-09-20,12:00:00,1,B,86.25
2266,2021-09-20,12:00:00,1,B,100
2294,2021-09-20,12:00:00,1,B,70
2301,2021-09-20,12:00:00,1,B,70
2309,2021-09-20,12:00:00,1,B,92.5
2311,2021-09-20,12:00:00,1,B,87.5
2369,2021-09-20,12:00:00,1,B,27.5
2378,2021-09-20,12:00:00,1,B,100
2401,2021-09-20,12:00:00,1,B,82.5
2446,2021-09-20,12:00:00,1,B,91.25
2449,2021-09-20,12:00:00,1,B,100
2463,2021-09-20,12:00:00,1,B,77.5
2464,2021-09-20,12:00:00,1,B,77.5
2479,2021-09-20,12:00:00,1,B,100
2481,2021-09-20,12:00:00,1,B,100
2494,2021-09-20,12:00:00,1,B,100
2519,2021-09-20,12:00:00,1,B,100
1738,2021-09-20,14:20:00,2,B,100
1745,2021-09-20,14:20:00,2,B,83.75
1757,2021-09-20,14:20:00,2,B,100
1802,2021-09-20,14:20:00,2,B,100
1829,2021-09-20,14:20:00,2,B,100
1877,2021-09-20,14:20:00,2,B,100
1958,2021-09-20,14:20:00,2,B,100
1983,2021-09-20,14:20:00,2,B,82.5
2002,2021-09-20,14:20:00,2,B,100
2006,2021-09-20,14:20:00,2,B,80
2104,2021-09-20,14:20:00,2,B,85
2192,2021-09-20,14:20:00,2,B,77.5
2266,2021-09-20,14:20:00,2,B,100
2294,2021-09-20,14:20:00,2,B,62.5
2301,2021-09-20,14:20:00,2,B,70
2309,2021-09-20,14:20:00,2,B,82.5
2311,2021-09-20,14:20:00,2,B,87.5
2369,2021-09-20,14:20:00,2,B,25
2378,2021-09-20,14:20:00,2,B,100
2401,2021-09-20,14:20:00,2,B,82.5
2446,2021-09-20,14:20:00,2,B,82.5
2449,2021-09-20,14:20:00,2,B,100
2463,2021-09-20,14:20:00,2,B,62.5
2464,2021-09-20,14:20:00,2,B,72.5
2479,2021-09-20,14:20:00,2,B,100
2481,2021-09-20,14:20:00,2,B,100
2494,2021-09-20,14:20:00,2,B,100
2519,2021-09-20,14:20:00,2,B,100
1738,2021-09-21,09:00:00,2,A,100
1745,2021-09-21,09:00:00,2,A,81.25
1757,2021-09-21,09:00:00,2,A,100
1802,2021-09-21,09:00:00,2,A,100
1829,2021-09-21,09:00:00,2,A,100
1877,2021-09-21,09:00:00,2,A,100
1958,2021-09-21,09:00:00,2,A,100
1983,2021-09-21,09:00:00,2,A,73.75
2002,2021-09-21,09:00:00,2,A,100
2006,2021-09-21,09:00:00,2,A,79
2104,2021-09-21,09:00:00,2,A,76.25
2192,2021-09-21,09:00:00,2,A,67.5
2266,2021-09-21,09:00:00,2,A,100
2294,2021-09-21,09:00:00,2,A,50
2301,2021-09-21,09:00:00,2,A,66.25
2309,2021-09-21,09:00:00,2,A,85
2311,2021-09-21,09:00:00,2,A,79
2369,2021-09-21,09:00:00,2,A,3.5
2378,2021-09-21,09:00:00,2,A,100
2401,2021-09-21,09:00:00,2,A,77.5
2446,2021-09-21,09:00:00,2,A,76.75
2449,2021-09-21,09:00:00,2,A,100
2463,2021-09-21,09:00:00,2,A,62.5
2464,2021-09-21,09:00:00,2,A,55
2479,2021-09-21,09:00:00,2,A,100
2481,2021-09-21,09:00:00,2,A,100
2494,2021-09-21,09:00:00,2,A,100
2519,2021-09-21,09:00:00,2,A,100
1738,2021-09-20,12:00:00,1,A,100
1745,2021-09-20,12:00:00,1,A,81.25
1757,2021-09-20,12:00:00,1,A,100
1802,2021-09-20,12:00:00,1,A,100
1829,2021-09-20,12:00:00,1,A,100
1877,2021-09-20,12:00:00,1,A,100
1958,2021-09-20,12:00:00,1,A,100
1983,2021-09-20,12:00:00,1,A,78.75
2002,2021-09-20,12:00:00,1,A,100
2006,2021-09-20,12:00:00,1,A,76.25
2104,2021-09-20,12:00:00,1,A,77.5
2192,2021-09-20,12:00:00,1,A,22.5
2266,2021-09-20,12:00:00,1,A,100
2294,2021-09-20,12:00:00,1,A,53.75
2301,2021-09-20,12:00:00,1,A,42.5
2309,2021-09-20,12:00:00,1,A,83.75
2311,2021-09-20,12:00:00,1,A,71.25
2369,2021-09-20,12:00:00,1,A,0.5
2378,2021-09-20,12:00:00,1,A,100
2401,2021-09-20,12:00:00,1,A,66.25
2446,2021-09-20,12:00:00,1,A,77.5
2449,2021-09-20,12:00:00,1,A,100
2463,2021-09-20,12:00:00,1,A,62.5
2464,2021-09-20,12:00:00,1,A,65
2479,2021-09-20,12:00:00,1,A,100
2481,2021-09-20,12:00:00,1,A,100
2494,2021-09-20,12:00:00,1,A,100
2519,2021-09-20,12:00:00,1,A,100
