pot,date,n_lesions,size_lesions,genotype_id,type,rep,row,column,canon_fgcc
1,2020-07-27,2,7.692779987877967e-4,CVR376,Cultivar,1,1,1,0.34636826653497366
1 A,2020-07-27,0,0,WLD042,Wild cicer,1,1,59,0
10,2020-07-27,0,0,CVR413,Cultivar,1,10,1,0.3663424863135936
10 A,2020-07-27,0,0,INT005,Introgression,1,10,59,0.1350014327334696
100,2020-07-27,0,0,CVR015,Cultivar,1,4,5,0.2643030149129952
100 A,2020-07-27,0,0,WLD053,Wild cicer,1,4,63,0.07359870170680671
1000,2020-07-27,0,0,CVR072,Cultivar,3,16,42,0.22731471873736164
1001,2020-07-27,0,0,CVR447,Cultivar,3,17,42,0.29163710486229577
1002,2020-07-27,0,0,CVR070,Cultivar,3,18,42,0.23605568923958203
1003,2020-07-27,0,0,CVR403,Cultivar,3,19,42,0.27066417409474486
1004,2020-07-27,0,0,CVR226,Cultivar,3,20,42,0.24150811139536743
1005,2020-07-27,0,0,CVR272,Cultivar,3,21,42,0.3357963258863798
1006,2020-07-27,0,0,CVR304,Cultivar,3,22,42,0.4196565580695451
1007,2020-07-27,0,0,CVR453,Cultivar,3,23,42,0.4508415336338229
1008,2020-07-27,0,0,CVR448,Cultivar,3,24,42,0.2995728083959637
1009,2020-07-27,0,0,CVR253,Cultivar,3,1,43,0.42702092693837407
101,2020-07-27,0,0,CVR414,Cultivar,1,5,5,0.30828678670929405
101 A,2020-07-27,0,0,WLD018,Wild cicer,1,5,63,0.06409745121751724
1010,2020-07-27,5,0.00139009883991479,CVR171,Cultivar,3,2,43,0.253033776051409
1011,2020-07-27,0,0,CVR233,Cultivar,3,3,43,0.37636558578809026
1012,2020-07-27,0,0,CVR043,Cultivar,3,4,43,0.247081998401158
1013,2020-07-27,0,0,CVR392,Cultivar,3,5,43,0.3885885486571241
1014,2020-07-27,0,0,CVR386,Cultivar,3,6,43,0.3631933976097571
1015,2020-07-27,1,4.048831572567352e-4,CVR249,Cultivar,3,7,43,0.3542229935019715
1016,2020-07-27,0,0,CVR341,Cultivar,3,8,43,0.3221382783080262
1017,2020-07-27,0,0,CVR230,Cultivar,3,9,43,0.4074380938986596
1018,2020-07-27,0,0,CVR370,Cultivar,3,10,43,0.2749649295245558
1019,2020-07-27,0,0,CVR250,Cultivar,3,11,43,0.3632608780819822
102,2020-07-27,0,0,CVR328,Cultivar,1,6,5,0.33888243281613956
102 A,2020-07-27,0,0,FLP024,FLIP,1,6,63,0.4086527423987108
1020,2020-07-27,0,0,CVR124,Cultivar,3,12,43,0.20999023216811272
1021,2020-07-27,0,0,CVR339,Cultivar,3,13,43,0.3361517230400985
1022,2020-07-27,0,0,CVR035,Cultivar,3,14,43,0.3003105948922911
1023,2020-07-27,0,0,CVR115,Cultivar,3,15,43,0.2205126871370749
1024,2020-07-27,0,0,CVR170,Cultivar,3,16,43,0.2726301051855685
1025,2020-07-27,0,0,CVR316,Cultivar,3,17,43,0.4225132313937396
1026,2020-07-27,0,0,CVR384,Cultivar,3,18,43,0.34064592249028797
1027,2020-07-27,1,1.3496105241891172e-4,CVR149,Cultivar,3,19,43,0.21483982877202087
1028,2020-07-27,0,0,CVR018,Cultivar,3,20,43,0.23019388555229783
1029,2020-07-27,0,0,CVR055,Cultivar,3,21,43,0.4060704896615649
103,2020-07-27,1,2.204363856175558e-4,CVR389,Cultivar,1,7,5,0.3678990358729185
103 A,2020-07-27,0,0,WLD016,Wild cicer,1,7,63,0.07069254270298049
1030,2020-07-27,0,0,CVR182,Cultivar,3,22,43,0.26701123119829456
1031,2020-07-27,0,0,CVR313,Cultivar,3,23,43,0.4596679794008616
1032,2020-07-27,0,0,CVR004,Cultivar,3,24,43,0.5086543035381121
1033,2020-07-27,0,0,CVR218,Cultivar,3,1,44,0.483776502777804
1034,2020-07-27,0,0,CVR204,Cultivar,3,2,44,0.22332887217793437
1035,2020-07-27,0,0,CVR428,Cultivar,3,3,44,0.33595378032157164
1036,2020-07-27,0,0,CVR404,Cultivar,3,4,44,0.30580800402955993
1037,2020-07-27,0,0,CVR032,Cultivar,3,5,44,0.2135082141201129
1038,2020-07-27,0,0,CVR116,Cultivar,3,6,44,0.17440103111661223
1039,2020-07-27,0,0,CVR047,Cultivar,3,7,44,0.2366450186970143
104,2020-07-27,4,0.00163752743601612,CVR063,Cultivar,1,8,5,0.19421329776189197
104 A,2020-07-27,0,0,INT014,Introgression,1,8,63,0.10748739485823552
1040,2020-07-27,0,0,CVR281,Cultivar,3,8,44,0.33893191849577126
1041,2020-07-27,0,0,CVR061,Cultivar,3,9,44,0.21690473122210793
1042,2020-07-27,0,0,CVR052,Cultivar,3,10,44,0.21094845487370867
1043,2020-07-27,0,0,CVR015,Cultivar,3,11,44,0.2576764325404936
1044,2020-07-27,0,0,CVR139,Cultivar,3,12,44,0.21475435350720248
1045,2020-07-27,0,0,CVR406,Cultivar,3,13,44,0.445024716928022
1046,2020-07-27,0,0,CVR412,Cultivar,3,14,44,0.41841941607875216
1047,2020-07-27,0,0,CVR053,Cultivar,3,15,44,0.23312253804686575
1048,2020-07-27,0,0,CVR269,Cultivar,3,16,44,0.41201776861366746
1049,2020-07-27,0,0,CVR348,Cultivar,3,17,44,0.35383160676306613
105,2020-07-27,0,0,CVR342,Cultivar,1,9,5,0.21427749150347863
105 A,2020-07-27,0,0,INT022,Introgression,1,9,63,0.15498914860653454
1050,2020-07-27,2,0.00104369880537291,CVR216,Cultivar,3,18,44,0.40403257940036785
1051,2020-07-27,0,0,CVR093,Cultivar,3,19,44,0.21432697718311036
1052,2020-07-27,0,0,CVR121,Cultivar,3,20,44,0.24721695934560817
1053,2020-07-27,0,0,CVR091,Cultivar,3,21,44,0.4516198084134853
1054,2020-07-27,0,0,CVR114,Cultivar,3,22,44,0.3204827573894379
1055,2020-07-27,0,0,CVR113,Cultivar,3,23,44,0.27834795053210587
1056,2020-07-27,0,0,CVR021,Cultivar,3,24,44,0.455704626332176
1057,2020-07-27,0,0,CVR243,Cultivar,3,1,45,0.27227920672999817
1058,2020-07-27,0,0,CVR240,Cultivar,3,2,45,0.4536892095617207
1059,2020-07-27,1,2.8341821007971455e-4,CVR065,Cultivar,3,3,45,0.35940549376885667
106,2020-07-27,0,0,CVR270,Cultivar,1,10,5,0.28440319823976856
106 A,2020-07-27,0,0,WLD097,Wild cicer,1,10,63,0.07460191139388604
1060,2020-07-27,0,0,CVR064,Cultivar,3,4,45,0.11709211540493676
1061,2020-07-27,1,2.5192729784863523e-4,CVR201,Cultivar,3,5,45,0.10393792201919697
1062,2020-07-27,1,2.879169118270116e-4,CVR418,Cultivar,3,6,45,0.24944381492903536
1063,2020-07-27,0,0,CVR030,Cultivar,3,7,45,0.19364196309705303
1064,2020-07-27,0,0,CVR107,Cultivar,3,8,45,0.2859687451953901
1065,2020-07-27,0,0,CVR050,Cultivar,3,9,45,0.2841827620305
1066,2020-07-27,0,0,CVR456,Cultivar,3,10,45,0.2945207703753803
1067,2020-07-27,0,0,CVR381,Cultivar,3,11,45,0.3646104875264835
1068,2020-07-27,0,0,CVR295,Cultivar,3,12,45,0.27922519667103174
1069,2020-07-27,0,0,CVR083,Cultivar,3,13,45,0.2145564107886756
107,2020-07-27,0,0,CVR016,Cultivar,1,11,5,0.1642744615847038
107 A,2020-07-27,0,0,INT013,Introgression,1,11,63,0.14409330169126033
1070,2020-07-27,0,0,CVR293,Cultivar,3,14,45,0.41641299670459353
1071,2020-07-27,0,0,CVR096,Cultivar,3,15,45,0.2387504094304364
1072,2020-07-27,0,0,CVR037,Cultivar,3,16,45,0.2226225765686453
1073,2020-07-27,0,0,CVR251,Cultivar,3,17,45,0.29129970250117043
1074,2020-07-27,3,6.928000690837467e-4,CVR058,Cultivar,3,18,45,0.20485721758085929
1075,2020-07-27,1,4.6786498171889386e-4,CVR063,Cultivar,3,19,45,0.2661474811538137
1076,2020-07-27,0,0,CVR138,Cultivar,3,20,45,0.10441028532477244
1077,2020-07-27,0,0,CVR100,Cultivar,3,21,45,0.2501726040290661
1078,2020-07-27,0,0,CVR169,Cultivar,3,22,45,0.20267984767706376
1079,2020-07-27,0,0,CVR162,Cultivar,3,23,45,0.2264284752021391
108,2020-07-27,0,0,CVR345,Cultivar,1,12,5,0.16748203336446865
108 A,2020-07-27,0,0,WLD117,Wild cicer,1,12,63,0.04725882404828879
1080,2020-07-27,0,0,CVR005,Cultivar,3,24,45,0.2342427138858019
1081,2020-07-27,1,2.429298943540411e-4,CVR033,Cultivar,3,1,46,0.2161174590461488
1082,2020-07-27,1,2.5192729784863523e-4,CVR451,Cultivar,3,2,46,0.27487045686344075
1083,2020-07-27,2,5.083532974445675e-4,CVR155,Cultivar,3,3,46,0.20333665760672107
1084,2020-07-27,0,0,CVR397,Cultivar,3,4,46,0.24951129540126044
1085,2020-07-27,0,0,CVR234,Cultivar,3,5,46,0.3169062923615093
1086,2020-07-27,0,0,CVR228,Cultivar,3,6,46,0.3463907600257154
1087,2020-07-27,0,0,CVR089,Cultivar,3,7,46,0.15796728678073416
1088,2020-07-27,0,0,CVR012,Cultivar,3,8,46,0.30159272386456737
1089,2020-07-27,0,0,CVR360,Cultivar,3,9,46,0.3430617233959454
109,2020-07-27,0,0,CVR336,Cultivar,1,13,5,0.4287034400458524
109 A,2020-07-27,0,0,Genesis090,Cultivar,1,13,63,0.3488335531202628
1090,2020-07-27,0,0,CVR252,Cultivar,3,10,46,0.25977732457576735
1091,2020-07-27,0,0,CVR188,Cultivar,3,11,46,0.2860497217620602
1092,2020-07-27,0,0,CVR289,Cultivar,3,12,46,0.35228855329818626
1093,2020-07-27,0,0,CVR158,Cultivar,3,13,46,0.3212025490931719
1094,2020-07-27,0,0,CVR327,Cultivar,3,14,46,0.3603862099651943
1095,2020-07-27,0,0,CVR165,Cultivar,3,15,46,0.16706815313482157
1096,2020-07-27,0,0,CVR379,Cultivar,3,16,46,0.365069354737614
1097,2020-07-27,0,0,CVR208,Cultivar,3,17,46,0.25700162781824293
1098,2020-07-27,0,0,CVR399,Cultivar,3,18,46,0.35671077357800235
1099,2020-07-27,0,0,CVR177,Cultivar,3,19,46,0.2591700003257417
11,2020-07-27,0,0,CVR091,Cultivar,1,11,1,0.1441337899745954
11 A,2020-07-27,0,0,WLD045,Wild cicer,1,11,59,0.00415679708906414
110,2020-07-27,0,0,CVR071,Cultivar,1,14,5,0.21504227018869607
110 A,2020-07-27,0,0,INT017,Introgression,1,14,63,0.11012363197316148
1100,2020-07-27,0,0,CVR118,Cultivar,3,20,46,0.1727814997832106
1101,2020-07-27,0,0,CVR150,Cultivar,3,21,46,0.2968061090347359
1102,2020-07-27,1,0.00388687830966465,CVR223,Cultivar,3,22,46,0.3742736911491132
1103,2020-07-27,0,0,CVR045,Cultivar,3,23,46,0.371435012617512
1104,2020-07-27,0,0,CVR173,Cultivar,3,24,46,0.2490299346993883
1105,2020-07-27,0,0,CVR376,Cultivar,3,1,47,0.2790902357265816
1106,2020-07-27,0,0,CVR056,Cultivar,3,2,47,0.2678479890538854
1107,2020-07-27,0,0,CVR423,Cultivar,3,3,47,0.33303862392144873
1108,2020-07-27,5,0.00172300276921477,CVR273,Cultivar,3,4,47,0.3500302068277207
1109,2020-07-27,0,0,CVR087,Cultivar,3,5,47,0.18271012659659217
111,2020-07-27,0,0,CVR156,Cultivar,1,15,5,0.1662044030903407
111 A,2020-07-27,0,0,WLD095,Wild cicer,1,15,63,0.03171582194578162
1110,2020-07-27,0,0,CVR009,Cultivar,3,6,47,0.22225818201862993
1111,2020-07-27,0,0,CVR148,Cultivar,3,7,47,0.3396966971809887
1112,2020-07-27,0,0,CVR441,Cultivar,3,8,47,0.30893010054450637
1113,2020-07-27,0,0,CVR443,Cultivar,3,9,47,0.25209354813840634
1114,2020-07-27,0,0,CVR466,Cultivar,3,10,47,0.25766743514419693
1115,2020-07-27,0,0,CVR449,Cultivar,3,11,47,0.40693423970604575
1116,2020-07-27,0,0,CVR347,Cultivar,3,12,47,0.3517981952000174
1117,2020-07-27,0,0,Genesis090,Cultivar,3,13,47,0.3947742586110886
1118,2020-07-27,0,0,CVR365,Cultivar,3,14,47,0.3595269586188618
1119,2020-07-27,0,0,CVR057,Cultivar,3,15,47,0.20471325924011244
112,2020-07-27,0,0,CVR055,Cultivar,1,16,5,0.15933489101782886
112 A,2020-07-27,0,0,FLP037,FLIP,1,16,63,0.41931915570841977
1120,2020-07-27,0,0,CVR254,Cultivar,3,16,47,0.30545710557398953
1121,2020-07-27,0,0,CVR429,Cultivar,3,17,47,0.31000978810010743
1122,2020-07-27,0,0,CVR221,Cultivar,3,18,47,0.3746470830954252
1123,2020-07-27,0,0,CVR026,Cultivar,3,19,47,0.3754883396491644
1124,2020-07-27,0,0,CVR031,Cultivar,3,20,47,0.23860645108968956
