pot,date,genotype_id,type,treatment,row,column,rep,canon_fgcc,n_lesions,size_lesions,fgcc,ndvi,endvi,rendvi,ngrdi,gndvi
121A,2021-07-05,CVR019,Cultivar,Infected,1,9,3,0.03091679997543706,0,0,NA,NA,NA,NA,NA,NA
122A,2021-07-05,CVR016,Cultivar,Infected,2,9,3,0.03339769596660938,0,0,NA,NA,NA,NA,NA,NA
123A,2021-07-05,WLD131,Wild cicer,Infected,3,9,3,0.03699151726223282,0,0,NA,NA,NA,NA,NA,NA
130A,2021-07-05,CVR485,Cultivar,Infected,1,10,3,0.04461969278649162,0,0,NA,NA,NA,NA,NA,NA
131A,2021-07-05,CVR010,Cultivar,Infected,2,10,3,0.01679987245290516,0,0,NA,NA,NA,NA,NA,NA
132A,2021-07-05,CVR491,Cultivar,Infected,3,10,3,0.02025457808547221,0,0,NA,NA,NA,NA,NA,NA
139A,2021-07-05,CVR011,Cultivar,Infected,1,11,3,0.0174921384904953,0,0,NA,NA,NA,NA,NA,NA
140A,2021-07-05,WLD132,Wild cicer,Infected,2,11,3,0.0022159137758268,0,0,NA,NA,NA,NA,NA,NA
141A,2021-07-05,CVR487,Cultivar,Infected,3,11,3,0.01785317675890355,0,0,NA,NA,NA,NA,NA,NA
148A,2021-07-05,CVR495,Cultivar,Infected,1,12,3,0.02711430518522904,0,0,NA,NA,NA,NA,NA,NA
149A,2021-07-05,CVR493,Cultivar,Infected,2,12,3,0.04054559122555444,0,0,NA,NA,NA,NA,NA,NA
150A,2021-07-05,CVR492,Cultivar,Infected,3,12,3,0.02439161292255395,0,0,NA,NA,NA,NA,NA,NA
124A,2021-07-05,Howzat,Cultivar,Infected,4,9,3,0.02276197229817908,0,0,NA,NA,NA,NA,NA,NA
125A,2021-07-05,CVR496,Cultivar,Infected,5,9,3,0.03485178587331785,0,0,NA,NA,NA,NA,NA,NA
126A,2021-07-05,CVR484,Cultivar,Infected,6,9,3,0.02783969399973736,0,0,NA,NA,NA,NA,NA,NA
133A,2021-07-05,CVR482,Cultivar,Infected,4,10,3,0.03627937755849177,0,0,NA,NA,NA,NA,NA,NA
134A,2021-07-05,CVR015,Cultivar,Infected,5,10,3,0.01622022385683686,0,0,NA,NA,NA,NA,NA,NA
135A,2021-07-05,CVR481,Cultivar,Infected,6,10,3,0.01147704220215228,0,0,NA,NA,NA,NA,NA,NA
142A,2021-07-05,WLD129,Wild cicer,Infected,4,11,3,0.00533607936152015,0,0,NA,NA,NA,NA,NA,NA
143A,2021-07-05,CVR477,Cultivar,Infected,5,11,3,0.01700523366979793,0,0,NA,NA,NA,NA,NA,NA
144A,2021-07-05,WLD133,Wild cicer,Infected,6,11,3,0.00373624923637165,0,0,NA,NA,NA,NA,NA,NA
127A,2021-07-05,CVR489,Cultivar,Infected,7,9,3,0.02545816633931961,0,0,NA,NA,NA,NA,NA,NA
128A,2021-07-05,CVR009,Cultivar,Infected,8,9,3,0.01675681284291152,0,0,NA,NA,NA,NA,NA,NA
129A,2021-07-05,CVR486,Cultivar,Infected,9,9,3,0.01719072122053978,0,0,NA,NA,NA,NA,NA,NA
136A,2021-07-05,CVR488,Cultivar,Infected,7,10,3,0.01544183859925944,0,0,NA,NA,NA,NA,NA,NA
137A,2021-07-05,CVR490,Cultivar,Infected,8,10,3,0.00723401447893235,0,0,NA,NA,NA,NA,NA,NA
138A,2021-07-05,CVR494,Cultivar,Infected,9,10,3,0.02075804429462868,0,0,NA,NA,NA,NA,NA,NA
145A,2021-07-05,CVR017,Cultivar,Infected,7,11,3,0.01641233596296236,0,0,NA,NA,NA,NA,NA,NA
146A,2021-07-05,Genesis090,Cultivar,Infected,8,11,3,0.02914141913262217,0,0,NA,NA,NA,NA,NA,NA
147A,2021-07-05,WLD130,Wild cicer,Infected,9,11,3,0.00786665951806974,0,0,NA,NA,NA,NA,NA,NA
151A,2021-07-05,WLD130,Wild cicer,Fungicide,10,9,3,0.01236804490125155,0,0,NA,NA,NA,NA,NA,NA
152A,2021-07-05,CVR482,Cultivar,Fungicide,11,9,3,0.03851516500046949,0,0,NA,NA,NA,NA,NA,NA
153A,2021-07-05,CVR491,Cultivar,Fungicide,12,9,3,0.02330187356194555,0,0,NA,NA,NA,NA,NA,NA
160A,2021-07-05,Howzat,Cultivar,Fungicide,10,10,3,0.03237088988214554,1,2.9810379984491917e-4,NA,NA,NA,NA,NA,NA
161A,2021-07-05,CVR009,Cultivar,Fungicide,11,10,3,0.01546502454310217,0,0,NA,NA,NA,NA,NA,NA
162A,2021-07-05,CVR484,Cultivar,Fungicide,12,10,3,0.03564342024166255,1,2.649811554177059e-4,NA,NA,NA,NA,NA,NA
169A,2021-07-05,CVR019,Cultivar,Fungicide,10,11,3,0.01998628359243489,0,0,NA,NA,NA,NA,NA,NA
170A,2021-07-05,CVR495,Cultivar,Fungicide,11,11,3,0.014623706009380181,0,0,NA,NA,NA,NA,NA,NA
171A,2021-07-05,CVR010,Cultivar,Fungicide,12,11,3,0.01527953699236031,0,0,NA,NA,NA,NA,NA,NA
178A,2021-07-05,CVR016,Cultivar,Fungicide,10,12,3,0.03968439902568154,0,0,NA,NA,NA,NA,NA,NA
179A,2021-07-05,CVR494,Cultivar,Fungicide,11,12,3,0.02987012022482231,0,0,NA,NA,NA,NA,NA,NA
180A,2021-07-05,WLD129,Wild cicer,Fungicide,12,12,3,0.00594885073450664,0,0,NA,NA,NA,NA,NA,NA
154A,2021-07-05,CVR493,Cultivar,Fungicide,13,9,3,0.04207586351917474,0,0,NA,NA,NA,NA,NA,NA
155A,2021-07-05,WLD132,Wild cicer,Fungicide,14,9,3,0.00586604379221116,0,0,NA,NA,NA,NA,NA,NA
156A,2021-07-05,CVR489,Cultivar,Fungicide,15,9,3,0.03406677606035679,0,0,NA,NA,NA,NA,NA,NA
163A,2021-07-05,WLD131,Wild cicer,Fungicide,13,10,3,0.00264650987576325,0,0,NA,NA,NA,NA,NA,NA
164A,2021-07-05,CVR485,Cultivar,Fungicide,14,10,3,0.02255992335897813,0,0,NA,NA,NA,NA,NA,NA
165A,2021-07-05,CVR488,Cultivar,Fungicide,15,10,3,0.01188776463593782,0,0,NA,NA,NA,NA,NA,NA
172A,2021-07-05,CVR481,Cultivar,Fungicide,13,11,3,0.02578608183080968,1,0.00132160172709078,NA,NA,NA,NA,NA,NA
173A,2021-07-05,CVR490,Cultivar,Fungicide,14,11,3,0.00595216301219845,0,0,NA,NA,NA,NA,NA,NA
174A,2021-07-05,CVR486,Cultivar,Fungicide,15,11,3,0.01540540354464943,0,0,NA,NA,NA,NA,NA,NA
157A,2021-07-05,CVR492,Cultivar,Fungicide,16,9,3,0.02859820559116388,0,0,NA,NA,NA,NA,NA,NA
158A,2021-07-05,CVR487,Cultivar,Fungicide,17,9,3,0.0200061572585858,0,0,NA,NA,NA,NA,NA,NA
159A,2021-07-05,CVR477,Cultivar,Fungicide,18,9,3,0.03075118609084612,0,0,NA,NA,NA,NA,NA,NA
166A,2021-07-05,CVR017,Cultivar,Fungicide,16,10,3,0.01084439716301488,0,0,NA,NA,NA,NA,NA,NA
167A,2021-07-05,CVR015,Cultivar,Fungicide,17,10,3,0.01625334663375505,0,0,NA,NA,NA,NA,NA,NA
168A,2021-07-05,Genesis090,Cultivar,Fungicide,18,10,3,0.03398728139575313,0,0,NA,NA,NA,NA,NA,NA
175A,2021-07-05,CVR011,Cultivar,Fungicide,16,11,3,0.00653843616365039,0,0,NA,NA,NA,NA,NA,NA
176A,2021-07-05,CVR496,Cultivar,Fungicide,17,11,3,0.03373886056886672,0,0,NA,NA,NA,NA,NA,NA
177A,2021-07-05,WLD133,Wild cicer,Fungicide,18,11,3,0.00681335521207135,0,0,NA,NA,NA,NA,NA,NA
1A,2021-07-05,CVR482,Cultivar,Infected,1,1,1,0.04449051395651068,0,0,NA,NA,NA,NA,NA,NA
