date,pot,lemna_fgcc,hyperspec,projected_shoot_area_pixels
2021-09-23,CP,0.004458936854623549,Yes,NA
2021-09-21,2A,0.321635899688405,Yes,358368
2021-09-21,3A,0.0116098658895443,Yes,66180
2021-09-21,4A,0.23627168433403853,Yes,566523
2021-09-21,5A,7.587468307401378e-4,Yes,195
2021-09-21,6A,0.014197920147822304,Yes,24484
2021-09-21,7A,2.702385972499121e-4,Yes,407
2021-09-21,8A,0.001060166804595809,Yes,123
2021-09-21,9A,0.0055502850358251175,Yes,198602
2021-09-21,10A,0.2685444091209992,Yes,316571
2021-09-21,11A,0.006776752515651642,Yes,9100
2021-09-21,12A,0.20968436388152795,Yes,615277
2021-09-21,13A,1.8708825963455452e-4,Yes,612
2021-09-21,14A,0.0050202016335272135,Yes,92286
2021-09-21,15A,0.007140535242718831,Yes,7656
2021-09-21,16A,2.598448050479924e-4,Yes,63
2021-09-21,17A,0.00102898542799005,Yes,1096
2021-09-21,18A,2.0787584403839392e-4,Yes,5489
2021-09-21,19A,0.030942319385114936,Yes,19895
2021-09-21,20A,0.0064961201261998095,Yes,7352
2021-09-21,21A,0.020683646481820195,Yes,29077
2021-09-21,22A,5.716585711055832e-4,Yes,420
2021-09-21,23A,0.006194700152344139,Yes,77696
2021-09-21,24A,8.21109583951656e-4,Yes,1874
2021-09-21,25A,0.0031181376605759086,Yes,645
2021-09-21,26A,1.6630067523071512e-4,Yes,111
2021-09-21,27A,3.7417651926910904e-4,Yes,62
2021-09-21,28A,0.1634423823751872,Yes,198519
2021-09-21,29A,0.3809532717847607,Yes,626568
2021-09-21,30A,0.11468510315598192,Yes,144151
2021-09-21,31A,0.4110329064171163,Yes,554065
2021-09-21,31A,0.3802257063306263,Yes,554065
2021-09-21,32A,0.11739788292068297,Yes,93614
2021-09-21,33A,0.7101454584039613,Yes,1596205
2021-09-21,34A,0.5894007743942602,Yes,2700979
2021-09-21,35A,0.6605254944319967,Yes,1306457
2021-09-21,36A,0.5040469528320957,Yes,1269276
2021-09-21,37A,0.2697189076398161,Yes,406389
2021-09-21,39A,0.6842545220289793,Yes,2847816
2021-09-21,40A,0.09725471363336259,Yes,117446
2021-09-21,41A,0.5610153278908175,Yes,1140256
2021-09-21,42A,0.5239926400675795,Yes,2042867
2021-09-21,43A,0.47640985936719116,Yes,1987673
2021-09-21,44A,0.7977443390817405,Yes,2583260
2021-09-21,46A,0.34013684980782205,Yes,1314409
2021-09-21,47A,0.7842012278426391,Yes,2494893
2021-09-21,47A,0.7819977438958322,Yes,2494893
2021-09-21,48A,0.21871656930499617,Yes,324093
2021-09-21,49A,0.24592751728962192,Yes,1122850
2021-09-21,50A,0.8385919424352849,Yes,1947184
2021-09-21,51A,0.4076757115358962,Yes,415650
2021-09-21,52A,0.7102078211571728,Yes,1936041
2021-09-21,53A,0.7574476067148979,Yes,1998181
2021-09-21,53A,0.7592977017268395,Yes,1998181
2021-09-21,54A,0.6301132584491796,Yes,1495277
2021-09-21,55A,0.4227986791896894,Yes,1338068
2021-09-21,56A,0.4362066711301658,Yes,422278
2021-09-21,57A,0.7217137491246979,Yes,1886867
2021-09-21,58A,0.3289219480219507,Yes,1559262
2021-09-21,59A,0.5631148739156053,Yes,1213640
2021-09-21,60A,0.3955253684518521,Yes,1479716
2021-09-21,61A,0.3510295440354339,Yes,596283
2021-09-21,62A,0.2313450268303286,Yes,301136
2021-09-21,63A,0.4085591838730594,Yes,1540207
2021-09-21,64A,0.7829747603628127,Yes,2067240
2021-09-21,65A,0.634343531875361,Yes,933998
2021-09-21,66A,0.018594494249234334,Yes,107795
2021-09-21,67A,0.08608138701629892,Yes,1010183
2021-09-21,68A,0.20372872094982797,Yes,488281
2021-09-21,69A,0.3688341100773223,Yes,865346
2021-09-21,70A,0.2119813919581522,Yes,391297
2021-09-21,71A,0.27201593571644034,Yes,214169
2021-09-21,72A,0.1874416485694198,Yes,233640
2021-09-21,73A,0.2700722965746814,Yes,227168
2021-09-21,74A,0.5140249933459385,Yes,1395053
2021-09-21,75A,0.41119920709234703,Yes,1292874
2021-09-21,76A,0.03047459873602855,Yes,151453
2021-09-21,77A,0.3349295599146603,Yes,1014276
2021-09-21,79A,0.6823836394326338,Yes,2090463
2021-09-21,80A,0.7485713081744584,Yes,1953800
2021-09-21,81A,0.4570254369106109,Yes,395674
2021-09-21,82A,0.10937387534080097,Yes,242345
2021-09-21,83A,0.6367133164973986,Yes,1979863
2021-09-21,84A,0.4595407346234755,Yes,875864
2021-09-21,85A,0.08040637647405077,Yes,290684
2021-09-21,86A,0.703846820329598,Yes,2124381
2021-09-21,87A,0.32196850103886643,Yes,1391480
2021-09-21,88A,0.7268171010958405,Yes,2765900
2021-09-21,89A,0.6586442180434492,Yes,1935903
2021-09-21,90A,0.14515970189201047,Yes,157020
2021-09-21,94A,5.924461555094227e-4,Yes,3968
2021-09-21,96A,0.22891287945507938,Yes,558101
2021-09-21,96A,0.2293909938963677,Yes,558101
2021-09-21,97A,3.222075582595106e-4,Yes,1242
2021-09-21,98A,0.09532146828380553,Yes,328389
2021-09-21,99A,0.39020374684446923,Yes,1084990
2021-09-21,100A,0.07869140076073401,Yes,288951
2021-09-21,101A,0.19764835251170493,Yes,187125
2021-09-21,102A,6.132337399132621e-4,Yes,149
2021-09-21,103A,0.07188346686847662,Yes,72119
2021-09-21,104A,0.059982574797278566,Yes,418793
2021-09-21,105A,0.001164104726615006,Yes,368
2021-09-21,106A,0.15322528464070015,Yes,438203
