pot,date,n_lesions,size_lesions,genotype_id,type,rep,row,column,fgcc
2309,2021-07-13,0,0,INT036,Introgression,3,97,5,0.06715974247931883
2310,2021-07-13,0,0,FLP263,FLIP,3,97,6,0.19029366567268427
2311,2021-07-13,0,0,WLD131,Wild cicer,3,97,7,0.01644877101757236
2312,2021-07-13,0,0,FLP253,FLIP,3,97,8,0.153749305898847
2333,2021-07-13,0,0,VVL186,Vavilov,3,98,5,0.11632388025898588
2334,2021-07-13,0,0,FLP162,FLIP,3,98,6,0.093631465792335
2335,2021-07-13,0,0,FLP556,FLIP,3,98,7,0.15080469103082003
2336,2021-07-13,0,0,FLP536,FLIP,3,98,8,0.16077133460550294
2357,2021-07-13,0,0,FLP400,FLIP,3,99,5,0.1640736754642463
2358,2021-07-13,0,0,FLP160,FLIP,3,99,6,0.00180519134204126
2359,2021-07-13,0,0,VVL110,Vavilov,3,99,7,0.20095588756264912
2360,2021-07-13,0,0,FLP309,FLIP,3,99,8,0.16775692825754887
2381,2021-07-13,0,0,FLP390,FLIP,3,100,5,0.13756882937431195
2382,2021-07-13,0,0,FLP395,FLIP,3,100,6,0.16968467387418742
2383,2021-07-13,0,0,FLP495,FLIP,3,100,7,0.15906551159421622
2384,2021-07-13,0,0,FLP368,FLIP,3,100,8,0.14221595497593378
2313,2021-07-13,5,0.00165281995691794,VVL089,Vavilov,3,97,9,0.11649280642126866
2314,2021-07-13,2,0.00131165918364731,FLP062,FLIP,3,97,10,0.11670810447123688
2315,2021-07-13,0,0,FLP452,FLIP,3,97,11,0.07622875879951882
2316,2021-07-13,9,0.00507771699812579,FLP358,FLIP,3,97,12,0.17226825047380614
2337,2021-07-13,1,5.100887241790839e-4,FLP054,FLIP,3,98,9,0.07519201588197952
2338,2021-07-13,1,2.9810379984491917e-4,VVL172,Vavilov,3,98,10,0.12851306216487923
2339,2021-07-13,0,0,FLP183,FLIP,3,98,11,0.1247072550969794
2340,2021-07-13,0,0,FLP233,FLIP,3,98,12,0.07782858892466732
2361,2021-07-13,0,0,VVL078,Vavilov,3,99,9,0.11501884284840928
2362,2021-07-13,0,0,FLP510,FLIP,3,99,10,0.13852607762724758
2363,2021-07-13,0,0,FLP135,FLIP,3,99,11,0.09031587582282435
2364,2021-07-13,0,0,FLP184,FLIP,3,99,12,0.0748707249458731
2385,2021-07-13,1,1.5898902182791342e-4,FLP524,FLIP,3,100,9,0.17787593660605544
2386,2021-07-13,0,0,FLP603,FLIP,3,100,10,0.13851945307186397
2387,2021-07-13,0,0,FLP597,FLIP,3,100,11,0.06927960020208289
2388,2021-07-13,1,1.5898902182791342e-4,VVL013,Vavilov,3,100,12,0.12696954076049166
2317,2021-07-13,1,1.6230095769334486e-4,FLP246,FLIP,3,97,13,0.11900682518935916
2318,2021-07-13,2,6.955758204766065e-4,VVL125,Vavilov,3,97,14,0.1722980609730325
2319,2021-07-13,0,0,FLP189,FLIP,3,97,15,0.10938797077231724
2320,2021-07-13,0,0,FLP509,FLIP,3,97,16,0.080759954681927
2341,2021-07-13,0,0,FLP501,FLIP,3,98,13,0.12145459840361328
2342,2021-07-13,0,0,FLP489,FLIP,3,98,14,0.05490762729728093
2343,2021-07-13,1,2.3848303987593532e-4,FLP601,FLIP,3,98,15,0.1050025151083491
2344,2021-07-13,1,3.279141798294111e-4,FLP155,FLIP,3,98,16,0.147734209610504
2365,2021-07-13,0,0,VVL194,Vavilov,3,99,13,0.13853932673801486
2366,2021-07-13,0,0,VVL014,Vavilov,3,99,14,0.05524879189953827
2367,2021-07-13,0,0,FLP453,FLIP,3,99,15,0.16620347002008584
2368,2021-07-13,0,0,FLP249,FLIP,3,99,16,0.07776896792621459
2389,2021-07-13,0,0,FLP576,FLIP,3,100,13,0.0787725880668357
2390,2021-07-13,0,0,FLP527,FLIP,3,100,14,0.15949610769415268
2391,2021-07-13,0,0,FLP223,FLIP,3,100,15,0.11176287387735136
2392,2021-07-13,0,0,FLP365,FLIP,3,100,16,0.15188449355835298
2321,2021-07-13,0,0,FLP528,FLIP,3,97,17,0.1079371931433006
2322,2021-07-13,0,0,VVL158,Vavilov,3,97,18,0.08981903416905153
2323,2021-07-13,0,0,FLP344,FLIP,3,97,19,0.08665580897336453
2324,2021-07-13,0,0,VVL038,Vavilov,3,97,20,0.03250006871212647
2345,2021-07-13,0,0,FLP222,FLIP,3,98,17,0.12898340559711752
2346,2021-07-13,0,0,VVL220,Vavilov,3,98,18,0
2347,2021-07-13,0,0,FLP196,FLIP,3,98,19,0.1274166982488872
2348,2021-07-13,0,0,FLP058,FLIP,3,98,20,0.16542508476250842
2369,2021-07-13,0,0,WLD085,Wild cicer,3,99,17,0.01488537594703387
2370,2021-07-13,0,0,FLP151,FLIP,3,99,18,0.20518566617510176
2371,2021-07-13,0,0,INT042,Introgression,3,99,19,0.06665296399247055
