pot,date,genotype_id,type,treatment,row,column,rep,canon_fgcc,n_lesions,size_lesions,rededge_fgcc,ndvi,endvi,rendvi,ngrdi,gndvi
100A,2022-06-23,CVR482,Cultivar,Infected,10,6,2,0.00701871642896412,1,9.439984465876698e-4,0.00396904919809418,0.6880733573961512,0.6313375078427096,0.2374483847635543,0.4543143098591652,0.34006340163801957
101A,2022-06-23,CVR498,Cultivar,Infected,11,6,2,0.00720751625739779,0,0,0.00416553678215824,0.7063576102677549,0.6337531970955875,0.32316535615284986,0.4029890691515533,0.424086678321929
102A,2022-06-23,CVR484,Cultivar,Infected,12,6,2,0.00334208819104521,0,0,0.012653800413726,0.8303292476935115,0.5469902059561929,0.0948025017341994,0.5796228711574513,0.4833153226077691
103A,2022-06-23,WLD131,Wild cicer,Infected,13,6,2,0,0,0,0,NA,NA,NA,NA,NA
104A,2022-06-23,CVR494,Cultivar,Infected,14,6,2,0.0040442910617108,1,7.883218124189612e-4,0.00302590879458665,0.7262565762856789,0.539961351096052,0.6945780976240494,0.4495267714798792,0.4108659357170474
105A,2022-06-23,Genesis090,Cultivar,Infected,15,6,2,0.01170227708519596,0,0,0.01021735437133155,0.7131415360855895,0.5197291800635616,0.4652738883293363,0.6594625777432743,0.1013365315336133
109A,2022-06-23,CVR481,Cultivar,Infected,10,7,2,0.00893652521252723,1,7.949465466652102e-4,0.00455851195028638,0.6932388149785425,0.5869316122282094,0.0708117325891689,0.4243766837984383,0.3809294331682783
10A,2022-06-23,CVR481,Cultivar,Infected,1,2,1,0.00683322887822227,1,6.955755329714779e-4,0.00385115664765573,0.6304654234676895,0.6570866346706951,0.1120449237615513,0.40333211594573554,0.30458540120806304
110A,2022-06-23,CVR477,Cultivar,Infected,11,7,2,0.00592897706835572,1,6.955755329714779e-4,0.00444061939984794,0.7553376433764418,0.6556129259374673,0.3331063497097169,0.35232167536625786,0.5491592217617238
111A,2022-06-23,WLD132,Wild cicer,Infected,12,7,2,0,0,0,0,NA,NA,NA,NA,NA
112A,2022-06-23,WLD085,Wild cicer,Infected,13,7,2,9.373745867847322e-4,0,0,7.073553026306459e-4,0.7126823649325464,0.4895191133857036,0.5923478143698514,0.5532285950435781,0.26324504104930835
113A,2022-06-23,CVR500,Cultivar,Infected,14,7,2,0.01953912610403934,0,0,0.01257520538010037,0.708092839879826,0.5502470478211654,0.20830350260552885,0.5971596583623928,0.1922067403956893
114A,2022-06-23,CVR491,Cultivar,Infected,15,7,2,0.01238129401201883,0,0,0.00919561893419839,0.7376258697312484,0.5380205968274531,0.30273126825877494,0.6536178304283875,0.16221695879905482
118A,2022-06-23,CVR016,Cultivar,Infected,10,8,2,0.0103906151192357,0,0,0.00703425550949364,0.6849460786205543,0.6533957803607352,-0.01921046204383081,0.5900641467783899,0.15924118888648303
119A,2022-06-23,CVR497,Cultivar,Infected,11,8,2,0.01232498529125791,0,0,0.00986367672001622,0.7298633195293,0.6760098966515365,0.1627594669610793,0.5911759182309847,0.24394360840508889
11A,2022-06-23,CVR499,Cultivar,Infected,2,2,1,0.00423971544552811,0,0,0.00243644604239444,0.6501582390200067,0.7248103958891264,0.4844754082601522,0.28281345235762656,0.45010765479636744
120A,2022-06-23,CVR496,Cultivar,Infected,12,8,2,0.00806208390188706,0,0,0.00581603248829642,0.7250985498501533,0.7108064111361718,0.15647726712983748,0.5814804408297769,0.24831554899382735
121A,2022-06-23,WLD085,Wild cicer,Infected,1,9,3,0,0,0,0,NA,NA,NA,NA,NA
122A,2022-06-23,CVR019,Cultivar,Infected,2,9,3,0.00818463817648435,0,0,0.00389045416446855,0.5637779779891487,0.7524300345156318,0.25771714776826676,0.567602292285388,-0.00562400544590184
123A,2022-06-23,CVR494,Cultivar,Infected,3,9,3,0.00972484730318011,1,1.324909062861428e-4,0.00455851195028638,0.5919349022915025,0.6798172108361359,0.5934685017733705,0.29150300051240385,0.36308198959506294
124A,2022-06-23,CVR498,Cultivar,Infected,4,9,3,0.00298436220032877,0,0,0.00235785100876881,0.4429696819103968,0.5839764521581123,-0.2347888419171502,0.4492883026734329,-0.00788862320292581
125A,2022-06-23,CVR485,Cultivar,Infected,5,9,3,0.0108477094407067,0,0,0.00770231329531147,0.6103702370416942,0.6628469483710019,0.3142101600275551,0.5359263707691411,0.11063361641568034
126A,2022-06-23,CVR502,Cultivar,Infected,6,9,3,0.00641256961136127,2,5.663972197053463e-4,0.00302590879458665,0.6185637989176752,0.6481117315114572,0.6827980496052514,0.2829117106143522,0.4068504946049995
127A,2022-06-23,Genesis090,Cultivar,Infected,7,9,3,0.00857548694411898,0,0,0.00125752053801003,0.5303671968290895,0.5898833936463719,-0.23817897310563615,0.6450493577969744,-0.17431893988468805
128A,2022-06-23,CVR010,Cultivar,Infected,8,9,3,0.00404097878401898,0,0,0.00263293362645851,0.6004273296863591,0.6462910261861826,0.07047791325343969,0.4881970430229335,0.15877005113537085
129A,2022-06-23,CVR491,Cultivar,Infected,9,9,3,0.00661793082825404,0,0,0.00416553678215824,0.6636612630749356,0.6603213889218591,0.4244554475868849,0.6490255446550576,0.02570976592395893
12A,2022-06-23,CVR500,Cultivar,Infected,3,2,1,0.00722738992354871,0,0,0.00396904919809418,0.674022996725512,0.6600391549566572,0.5885424531534359,0.4939155377903328,0.269989919316334
130A,2022-06-23,CVR484,Cultivar,Infected,1,10,3,6.525187052883118e-4,0,0,7.859503362562733e-4,0.7340916788619014,0.7297908104706793,0.24597698132837312,0.2482411717944691,0.5941176171104088
131A,2022-06-23,CVR481,Cultivar,Infected,2,10,3,0.00565737029762658,1,6.955755329714779e-4,0.00396904919809418,0.6861900349099748,0.6916497860485878,0.46655703845174046,0.34279423451872826,0.4490136940281132
132A,2022-06-23,CVR492,Cultivar,Infected,3,10,3,0.0121825573505097,0,0,0.00970648665276497,0.6763437704337004,0.7070285432699265,0.5379457038592156,0.5116631958175015,0.2518283462890001
133A,2022-06-23,CVR496,Cultivar,Infected,4,10,3,0.00614758739601577,0,0,0.00337958644590197,0.6397418658554744,0.644175451231698,0.24057237432292009,0.5867262004401907,0.08487304362903125
134A,2022-06-23,WLD131,Wild cicer,Infected,5,10,3,0,0,0,0,NA,NA,NA,NA,NA
135A,2022-06-23,Howzat,Cultivar,Infected,6,10,3,0.00671729915900861,0,0,0.00620900765642455,0.7282434441134089,0.6728957885166789,0.5783897827939114,0.3286136451467428,0.5253522248288011
136A,2022-06-23,CVR016,Cultivar,Infected,7,10,3,0.01142073348139136,0,0,0.00923491645101121,0.6140994308691355,0.4903857026925277,0.00196947999777734,0.5634219907627329,0.07748809975579057
137A,2022-06-23,CVR482,Cultivar,Infected,8,10,3,0.00354413713024616,1,4.736538153091493e-4,0.00337958644590197,0.7151339085071705,0.5600370969537927,0.561023320694677,0.49142983705520366,0.3449232606692608
138A,2022-06-23,CVR497,Cultivar,Infected,9,10,3,0.00737975469737237,0,0,0.00440132188303513,0.7698214332726164,0.5974444047846191,0.5528004833782733,0.6579569225770424,0.22668009757422103
139A,2022-06-23,CVR493,Cultivar,Infected,1,11,3,0.00867154299718172,0,0,0.00616971013961174,0.5977464631257072,0.6216877137533741,0.02081710522769846,0.5355846094663709,0.09143382704921402
13A,2022-06-23,WLD129,Wild cicer,Infected,4,2,1,0,0,0,0,NA,NA,NA,NA,NA
140A,2022-06-23,CVR495,Cultivar,Infected,2,11,3,0.00311354103030971,3,0.00129840766154675,0.002318553491956,0.7512057047917468,0.7170963636559935,0.4965889318658622,0.3072470022579192,0.5771736777555575
141A,2022-06-23,CVR504,Cultivar,Infected,3,11,3,0.00383892984481803,0,0,0.00361537154677885,0.7609463834534876,0.7329185081244084,0.6283720342157351,0.3012048627726877,0.5964478056776996
142A,2022-06-23,CVR015,Cultivar,Infected,4,11,3,0.01032768184309114,0,0,0.0069163629590552,0.6095835754378582,0.56951295144372,0.0447397671582399,0.5401515578192583,0.10351670669142532
143A,2022-06-23,WLD132,Wild cicer,Infected,5,11,3,0,0,0,0,NA,NA,NA,NA,NA
144A,2022-06-23,WLD129,Wild cicer,Infected,6,11,3,0.00111954985983476,0,0,6.287602690050186e-4,0.7435558549762394,0.659899696277692,0.5346131570749089,0.36653063335283537,0.5182733727360324
145A,2022-06-23,CVR500,Cultivar,Infected,7,11,3,0.00815151539956617,0,0,0.00279012369370977,0.6326149791249073,0.5168399546931419,0.17457544406690045,0.5969293600946597,0.05733794326304717
